======================================================================
OPTION STRATEGY BACKTEST ANALYSIS
======================================================================

Total Backtests: 135
[PROFITABLE] 60 (44.4%)
[LOSING] 75 (55.6%)

[PROFITABLE] STRATEGIES:
----------------------------------------------------------------------
1. Straddle             | 1week      | PnL: Rs  31576.49 | Win Rate:  50.0%
2. Straddle             | 1month     | PnL: Rs  31576.49 | Win Rate:  50.0%
3. Straddle             | 1week      | PnL: Rs  31576.49 | Win Rate:  50.0%
4. Straddle             | 1month     | PnL: Rs  31576.49 | Win Rate:  50.0%
5. Straddle             | 1week      | PnL: Rs  31576.49 | Win Rate:  50.0%
6. Straddle             | 1month     | PnL: Rs  31576.49 | Win Rate:  50.0%
7. Straddle             | 1week      | PnL: Rs  31576.49 | Win Rate:  50.0%
8. Straddle             | 1month     | PnL: Rs  31576.49 | Win Rate:  50.0%
9. Straddle             | 1week      | PnL: Rs  31576.49 | Win Rate:  50.0%
10. Straddle             | 1month     | PnL: Rs  31576.49 | Win Rate:  50.0%
11. Strangle             | 1week      | PnL: Rs  24322.46 | Win Rate:  50.0%
12. Strangle             | 1month     | PnL: Rs  24322.46 | Win Rate:  50.0%
13. Strangle             | 1week      | PnL: Rs  24322.46 | Win Rate:  50.0%
14. Strangle             | 1month     | PnL: Rs  24322.46 | Win Rate:  50.0%
15. Strangle             | 1week      | PnL: Rs  24322.46 | Win Rate:  50.0%
16. Strangle             | 1month     | PnL: Rs  24322.46 | Win Rate:  50.0%
17. Strangle             | 1week      | PnL: Rs  24322.46 | Win Rate:  50.0%
18. Strangle             | 1month     | PnL: Rs  24322.46 | Win Rate:  50.0%
19. Strangle             | 1week      | PnL: Rs  24322.46 | Win Rate:  50.0%
20. Strangle             | 1month     | PnL: Rs  24322.46 | Win Rate:  50.0%
21. Bull Call Spread     | 1week      | PnL: Rs  11891.96 | Win Rate: 100.0%
22. Bull Call Spread     | 1month     | PnL: Rs  11891.96 | Win Rate: 100.0%
23. Bull Call Spread     | 1week      | PnL: Rs  11891.96 | Win Rate: 100.0%
24. Bull Call Spread     | 1month     | PnL: Rs  11891.96 | Win Rate: 100.0%
25. Bull Call Spread     | 1week      | PnL: Rs  11891.96 | Win Rate: 100.0%
26. Bull Call Spread     | 1month     | PnL: Rs  11891.96 | Win Rate: 100.0%
27. Bull Call Spread     | 1week      | PnL: Rs  11891.96 | Win Rate: 100.0%
28. Bull Call Spread     | 1month     | PnL: Rs  11891.96 | Win Rate: 100.0%
29. Bull Call Spread     | 1week      | PnL: Rs  11891.96 | Win Rate: 100.0%
30. Bull Call Spread     | 1month     | PnL: Rs  11891.96 | Win Rate: 100.0%
31. Covered Call         | yesterday  | PnL: Rs   4529.51 | Win Rate: 100.0%
32. Covered Call         | yesterday  | PnL: Rs   4529.51 | Win Rate: 100.0%
33. Covered Call         | yesterday  | PnL: Rs   4529.51 | Win Rate: 100.0%
34. Covered Call         | yesterday  | PnL: Rs   4529.51 | Win Rate: 100.0%
35. Covered Call         | yesterday  | PnL: Rs   4529.51 | Win Rate: 100.0%
